id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,latitude,longitude
1469,COM VÍTIMA,FINALIZADA,2016-04-17,15:22:00,IBURA,AV DOIS RIOS,,PROX. A POLICLINICA,COLISÃO,AUTO E MOTO ( LOCAL DESCARACTERIZADO),1,1,,,,,,,,1,-8.1147915,-34.9398949
1470,SEM VÍTIMA,FINALIZADA,2016-04-17,15:58:00,AFOGADOS,RUA SAO MIGUEL,,ENTRADA DA VILA SÃO MIGUEL,COLISÃO,02 AUTOS,2,,,,,,,,,0,-8.0807445,-34.9158613
1471,COM VÍTIMA,CANCELADA,2016-04-17,17:49:00,MACAXEIRA,RUA MARIA AMALIA,437,PROX. AO CAMPO DO UNIAO E O SUPERMERCADO BELA VISTA,COLISÃO,DUAS MOTOS,,2,,,,,,,,2,-8.0082614,-34.9322221
1472,SEM VÍTIMA,FINALIZADA,2016-04-17,18:30:00,IPUTINGA,EST DO BARBALHO,138,APOIS O PORTAO DA VISTORIA DO DETRAN,COLISÃO,DOIS AUTO,2,,,,,,,,,0,-8.0380634,-34.940848
1473,SEM VÍTIMA,FINALIZADA,2016-04-17,18:39:00,TAMARINEIRA,AV PROFESSOR JOSE DOS ANJOS,,SENTIDO ARRUDA ENF AO REI DO JABA,COLISÃO,AUTO X TAXI,2,,,,,,,,,0,-8.0265892,-34.9011825
1474,SEM VÍTIMA,CANCELADA,2016-04-17,18:59:00,CASA FORTE,EST DO ENCANAMENTO,,EST DO ENCANAMENTO COM A RUA UBAIAS PROX RESTAURANTE JAPONES,COLISÃO,DOIS AUTO,2,,,,,,,,,0,-8.0307404,-34.9177965
1475,SEM VÍTIMA,FINALIZADA,2016-04-17,21:16:00,IPUTINGA,AV CAXANGA,,ENF AO HOSPITAL SANTA TEREZINHA,COLISÃO,ONIBUS MOBBRASIL X AUTO,2,,,,,,,,,0,-8.041958,-34.9366383
1476,SEM VÍTIMA,FINALIZADA,2016-04-17,21:58:00,CORDEIRO,RUA DR JOAO LACERDA,214,EM FRENTE AO RESTAURANTE CARIRI E NA RUA DO DHPP,COLISÃO,DOIS AUTO,2,,,,,,,,,0,-8.0472917,-34.9226613
1477,COM VÍTIMA,FINALIZADA,2016-04-18,00:08:00,CASA AMARELA,RUA PADRE LEMOS,51,EM FRENTE AO CANELA EM FRENTE A UNIVERSAL,COLISÃO,COLISAO ENTRE CARRO E MOTO C/V,1,1,,,,,,,,1,-8.0262824,-34.9178156
1478,SEM VÍTIMA,CANCELADA,2016-04-18,06:29:00,CURADO,BR 101 (DENTRO DA CEASA),,EM FRENTE AO GALPÃO DO COENTO,COLISÃO,COL.S/V DENTRO DA CEASA,1,,,,,,1,,,0,-8.0713528,-34.9423764
1479,COM VÍTIMA,FINALIZADA,2016-04-18,06:51:00,TORRE,RUA SOUZA BANDEIRA,11,EM FRENTE AO COMERCIAL AGUIAR,COLISÃO,COLISÃO COM VÍTIMA,2,1,,,,,,,,1,-8.0457026,-34.9166768
1480,SEM VÍTIMA,FINALIZADA,2016-04-18,07:26:00,SÃO JOSÉ,RUA DA CONCORDIA,381,EM FRENTE DA VENEZA SOM,COLISÃO,COL.S/V NO CRUZAMENTO,2,,,,,,,,,0,-8.0671867,-34.8818087
